PPN,Title,Subtitle,Creator,AdditionalCreators,AdditionalCorporateCreators,Language,PhysicalDescription,Place,Date,Publisher,Notes,Shelfmark_Original,PPN_Original,License
1916008526,Wenn die Frühlingsluft mal den Jüngling bufft,"aus ""Der selige Balduin""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Kollo, Walter, https://d-nb.info/gnd/1288246730']","['Odeon Werke (AusführendeR), https://d-nb.info/gnd/1063689406']",ger,1 Schellackplatte (2 Seiten),[Berlin],[zwischen 1921 und 1926],Odeon Record,,SPL 8733,1841217859,Public Domain Mark 1.0
1870612175,Im Reiche des Indra,Ouvertüre,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071",,"['Paul Godwin & das Künstlerensemble (AusführendeR), https://d-nb.info/gnd/10346920-5']",zxx,1 Schellackplatte (2 Seiten),Berlin,[zwischen 1920 und1924],Deutsche Grammophon-Aktiengesellschaft,Deutsch | Orchester | Erscheinungsdatum nicht ermittelbar. Dieses Label erschien zwischen 1920 und 1924,SPL 8526,1815271590,Public Domain Mark 1.0
1915483964,Schiebermaxe,,"Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Frey, Hermann (TextdichterIn), https://d-nb.info/gnd/1037812557', 'Kollo, Walter, https://d-nb.info/gnd/1315450542']","['Artiphon-Orchester (AusführendeR), https://d-nb.info/gnd/16148488-8']",ger,1 Schellackplatte (2 Seiten),[Berlin],[1919?],Artiphon Record,,SPL 3930,1830524127,Public Domain Mark 1.0
1916010962,"Walzer aus der Operette ""Drei alte Schachteln""",,"Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Kollo, Walter, https://d-nb.info/gnd/30089628X', 'Kollo, Walter, https://d-nb.info/gnd/1068592338']",,zxx,1 Schellackplatte (2 Seiten),[S.l.],[1917?],Dacaopo-Lyrophon-Record,,SPL 8882,1842087509,Public Domain Mark 1.0
1915493781,Unter den Brücken von Paris,Walzer,,"['Scotto, Vincent (KomponistIn), https://d-nb.info/gnd/124396445', 'Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Kollo, Walter, https://d-nb.info/gnd/1283040476']",,zxx,1 Schellackplatte (2 Seiten),[Berlin],[zwischen 1915 und 1919],Grammophon,"Hergestellt von der Deutschen Grammophon-Aktiengesellschaft, Berlin | Die Aufnahmen basieren auf der Notenausgabe vom Otto Junne Verlag, Leipzig (Seite 1) bzw. dem Drei-Masken-Verlag (Seite 2) | Erscheinungsjahr ermittelt nach: Das Bilderlexikon der deutschen Schellack-Schallplatten. Band 2 (E-I). Bear Family Records, 2019, S. 261",SPL 4945,1838276084,Public Domain Mark 1.0
1915492610,Alle Englein lachen,"aus ""Wenn zwei Hochzeit machen""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Weise, Lisa (SängerIn), https://d-nb.info/gnd/1229609695', 'Sabo, Oscar (SängerIn), https://d-nb.info/gnd/116713569', 'Kenter, Else (SängerIn), https://d-nb.info/gnd/1062291808', 'Schünzel, Reinhold (SängerIn), https://d-nb.info/gnd/118892223', 'Kollo, Walter, https://d-nb.info/gnd/1307949959']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[zwischen 1915 und 1919],Grammophon,"Hergestellt von der Deutschen Grammophon-Aktiengesellschaft, Berlin | Die Aufnahme basiert auf der Notenausgabe vom Drei-Masken-Verlag | Duett | Erscheinungsjahr ermittelt nach: Das Bilderlexikon der deutschen Schellack-Schallplatten. Band 2 (E-I). Bear Family Records, 2019, S. 261",SPL 3942,1837983100,Public Domain Mark 1.0
1915477611,Die Augen einer schönen Frau,"aus ""Immer feste druff""","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Werkmeister, Lotte (SängerIn), https://d-nb.info/gnd/117296015', 'Heidemann, Paul (SängerIn), https://d-nb.info/gnd/116604832', 'Kollo, Walter, https://d-nb.info/gnd/1283040476']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[1915?],Grammophon,"Gesungen von Lotti Werkmeister u. Paul Heidemann, mit Orchester | Hergestellt von der Deutschen Grammophon-Aktiengesellschaft, Berlin | Basiert auf der Notenausgabe vom Drei-Masken-Verlag | Duett",SPL 3635,1835755607,Public Domain Mark 1.0
1914902971,"Potpourri, aus ""Extrablätter""",heitere Bilder aus ernster Zeit,,"['Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837', 'Bredschneider, Willy (KomponistIn), https://d-nb.info/gnd/116469471', 'Weise, Lisa (SängerIn), https://d-nb.info/gnd/1229609695', 'Dora, Josefine (SängerIn), https://d-nb.info/gnd/1060065258', 'Sabo, Oscar (SängerIn), https://d-nb.info/gnd/116713569']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[1915],Grammophon,"Terzett m. Orch | Hergestellt von der Deutschen Grammophon-Aktiengesellschaft, Berlin | Aufnahme basiert auf der Notenausgabe vom Drei-Masken-Verlag | Enthält Teil I (Seite A) und Teil II (Seite B)",SPL 3613,1835749488,Public Domain Mark 1.0
1915492971,"Ich glaube, da liegt 'ne Taube","Duett aus ""Extrablätter"", heitere Bilder aus ernster Zeit","Kollo, Walter (KomponistIn), https://d-nb.info/gnd/123942837","['Weise, Lisa (SängerIn), https://d-nb.info/gnd/1229609695', 'Sabo, Oscar (SängerIn), https://d-nb.info/gnd/116713569', 'Rex, Eugen (SängerIn), https://d-nb.info/gnd/11645766X']",,ger,1 Schellackplatte (2 Seiten),[Berlin],[1914 oder 1915],Grammophon,"Die Aufnahme basiert auf der Notenausgabe vom Drei-Masken-Verlag | Duett mit Orchesterbegleitung (Seite 1), Tenor mit Chor (Seite 2) | Hergestellt von der Deutschen Grammophon-Aktiengesellschaft, Berlin",SPL 3964,1838119485,Public Domain Mark 1.0
1870612663,Vive l'amour,Wenn im Lenz die Knospen sprießen,"Lincke, Paul (KomponistIn), https://d-nb.info/gnd/118573071","['Wiedecke, Grete (SängerIn), https://d-nb.info/gnd/1146283105', 'Nebe, Carl (SängerIn), https://d-nb.info/gnd/1029802785', 'Lincke, Paul, https://d-nb.info/gnd/1296063763', 'Lincke, Paul, https://d-nb.info/gnd/1307615023']",,ger,1 Schellackplatte (2 Seiten),Berlin,[um 1914?],Deutsche Grammophon-Aktiengesellschaft,Duet w. orch | Bass w. choir and orch | (Apollo-Verlag),SPL 3625,181133007X,Public Domain Mark 1.0
