PPN,Title,Subtitle,Creator,AdditionalCreators,AdditionalCorporateCreators,Language,PhysicalDescription,Place,Date,Publisher,Notes,Shelfmark_Original,PPN_Original,Year
1916011772,Immer An Der Wand Lang,Rheinländer,Nan,"Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Kutschera, Alois (Komponistin), Https://D-Nb.Info/Gnd/135300045', 'Weinschütz, Georg (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/103960457",Nan,Zxx,1 Schellackplatte (2 Seiten),S.L.,Zwischen 1909 Und 1912,Jumbo-Record,Nan,Spl 9093,1843070561,1911
1916011772,Immer An Der Wand Lang,Rheinländer,Nan,"Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Kutschera, Alois (Komponistin), Https://D-Nb.Info/Gnd/135300045', 'Weinschütz, Georg (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/103960457",Nan,Zxx,1 Schellackplatte (2 Seiten),S.L.,Zwischen 1909 Und 1912,Jumbo-Record,Nan,Spl 9093,1843070561,1912
1915785243,"Ach, Amalia","Aus ""Die Kinokönigin",Nan,"Gilbert, Jean (Komponistin), Https://D-Nb.Info/Gnd/119539632', 'Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Bredschneider, Willy (Komponistin), Https://D-Nb.Info/Gnd/116469471', 'Gilbert, Jean, Https://D-Nb.Info/Gnd/1299778119', 'Kollo, Walter, Https://D-Nb.Info/Gnd/1068472723",Nan,Ger,1 Schellackplatte (2 Seiten),Leipzig,1913,Famosa Glockophona,"Orchester Mit Gesang; Orchester | Erscheinungsjahr Ermittelt Nach: Das Bilderlexikon Der Deutschen Schellack-Schallplatten. Band 2 (E-I). Bear Family Records, 2019, S. 104",Spl 5379,1838498354,1913
1915493382,Der Herr Von Methusalem,"Aus ""Wie Einst Im Mai",Nan,"Bredschneider, Willy (Komponistin), Https://D-Nb.Info/Gnd/116469471', 'Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Meinhard, Carl (Mitwirkender), Https://D-Nb.Info/Gnd/116863641', 'Weise, Lisa (Sängerin), Https://D-Nb.Info/Gnd/1229609695', 'Sabo, Oscar (Sängerin), Https://D-Nb.Info/Gnd/116713569', 'Kollo, Walter, Https://D-Nb.Info/Gnd/300762771",Nan,Ger,1 Schellackplatte (2 Seiten),S.L.,1913,Gramophone,"Die Aufnahme Basiert Auf Der Notenausgabe Vom Drei-Masken-Verlag | Bariton Mit Orchester (Seite 1), Duett Mit Orchester (Seite 2) | Hergestellt Von Der Deutschen Grammophon-Aktiengesellschaft, Berlin",Spl 4543,1838152601,1913
1915478553,Kleine Mädchen Müssen Schlafen Geh'N,"Duett Aus Der Posse: ""Der Juxbaron","Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837","Werkmeister, Lotte (Sängerin), Https://D-Nb.Info/Gnd/117296015', 'Kuttner, Max (Sängerin), Https://D-Nb.Info/Gnd/134437470', 'Kollo, Walter, Https://D-Nb.Info/Gnd/1068472669",Nan,Ger,1 Schellackplatte (2 Seiten),Hannover-Linden,1913,Favorite Record,Duo With Orchestra,Spl 3774,1836532032,1913
191490110X,Mein Geliebtes Firlefänzchen,"Aus ""Wie Einst Im Mai",Nan,"Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837', 'Bredschneider, Willy (Komponistin), Https://D-Nb.Info/Gnd/116469471', 'Dora, Josefine (Mitwirkender), Https://D-Nb.Info/Gnd/1060065258', 'Meinhard, Carl (Mitwirkender), Https://D-Nb.Info/Gnd/116863641', 'Perry, Ida (Mitwirkender), Https://D-Nb.Info/Gnd/116082739', 'Sabo, Oscar (Sängerin), Https://D-Nb.Info/Gnd/116713569', 'Kollo, Walter, Https://D-Nb.Info/Gnd/300762771",Nan,Ger,1 Schellackplatte (2 Seiten),S.L.,1913?,Gramophone,Terzett Mit Orchester. Tenor Mit Orchester | Die Aufnahmen Basieren Auf Der Notenausgabe Vom Drei-Masken-Verlag,Spl 3577,1834153220,1913
1914588142,Haiti-Ballade,"Two-Step Aus Der Posse ""Wie Einst Im Mai","Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837","Dora, Josefine (Sängerin), Https://D-Nb.Info/Gnd/1060065258', 'Kark, Friedrich (Dirigentin), Https://D-Nb.Info/Gnd/134875737', 'Kollo, Walter, Https://D-Nb.Info/Gnd/300762771",Nan,Ger,1 Schellackplatte (2 Seiten),Erscheinungsort Nicht Ermittelbar,1913,Parlophon-Record,Nan,Spl 633,1833761162,1913
1914898214,Haben Wir Uns Nicht Schon Mal Kenn'N Gelernt?,"Walzer-Duett Aus Der Posse ""Filmzauber"" : Repertoirestück Des Berliner Theaters","Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837","Nitter, Erna (Sängerin), Https://D-Nb.Info/Gnd/117023523', 'Platen, Karl (Sängerin), Https://D-Nb.Info/Gnd/116206659', 'Kollo, Walter, Https://D-Nb.Info/Gnd/1068472723","Dacapo-Orchester (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/10160146-3",Ger,1 Schellackplatte (2 Seiten),Berlin,1912 Oder 1913,Dacapo-Record Company,"Gesungen Von Erna Nitter-Götz Und Karl Platen, Originalbesetzung Des ""Berliner Theaters"", Mit Dacapo-Orchester, Berlin | Reproduced In Berlin | Erscheinungsjahr Ermittelt Nach: Das Bilderlexikon Der Deutschen Schellack-Schallplatten. Band 1 (A-D). Bear Family Records, 2019, S. 421",Spl 3472,1834131812,1912
1914898214,Haben Wir Uns Nicht Schon Mal Kenn'N Gelernt?,"Walzer-Duett Aus Der Posse ""Filmzauber"" : Repertoirestück Des Berliner Theaters","Kollo, Walter (Komponistin), Https://D-Nb.Info/Gnd/123942837","Nitter, Erna (Sängerin), Https://D-Nb.Info/Gnd/117023523', 'Platen, Karl (Sängerin), Https://D-Nb.Info/Gnd/116206659', 'Kollo, Walter, Https://D-Nb.Info/Gnd/1068472723","Dacapo-Orchester (Instrumentalmusikerin), Https://D-Nb.Info/Gnd/10160146-3",Ger,1 Schellackplatte (2 Seiten),Berlin,1912 Oder 1913,Dacapo-Record Company,"Gesungen Von Erna Nitter-Götz Und Karl Platen, Originalbesetzung Des ""Berliner Theaters"", Mit Dacapo-Orchester, Berlin | Reproduced In Berlin | Erscheinungsjahr Ermittelt Nach: Das Bilderlexikon Der Deutschen Schellack-Schallplatten. Band 1 (A-D). Bear Family Records, 2019, S. 421",Spl 3472,1834131812,1913
1870746651,Fascination,Walzer,Nan,"Lincke, Paul (Komponistin), Https://D-Nb.Info/Gnd/118573071', 'Marchetti, Fermo Dante (Komponistin), Https://D-Nb.Info/Gnd/134968832', 'Lincke, Paul, Https://D-Nb.Info/Gnd/1302294296', 'Marchetti, Fermo Dante, Https://D-Nb.Info/Gnd/1206226595",Nan,Zxx,1 Schellackplatte (2 Seiten),Berlin,Nach 1908,Zonophone Records,"German | Orchestra | Datierung Nach Lotz U. A.: Bilderlexikon Der Deutschen Schellackplatten. - Holste, 2019",Spl 8515,1815187727,1908
